0,1,2,3,4,5,6,7,8,9,10,11
10426.0,-0.101,0.295,0.972,0.885,-0.397,0.092,47.0,-8.0,38.0,1745636139.940519,0.0
10426.0,-0.102,0.298,0.973,0.854,-0.427,0.092,47.0,-8.0,39.0,1745636139.9405196,0.0
10426.0,-0.102,0.293,0.976,0.854,-0.458,0.092,47.0,-9.0,38.0,1745636139.9405198,0.0
10442.0,-0.1,0.291,0.975,0.916,-0.397,0.092,48.0,-8.0,39.0,1745636140.043126,0.0
10442.0,-0.099,0.293,0.968,0.854,-0.488,0.061,48.0,-8.0,38.0,1745636140.0431263,0.0
10458.0,-0.101,0.296,0.969,0.824,-0.488,0.061,48.0,-9.0,38.0,1745636140.141147,0.0
10458.0,-0.098,0.292,0.971,0.824,-0.366,0.061,48.0,-10.0,37.0,1745636140.1411474,0.0
10458.0,-0.1,0.292,0.973,0.854,-0.427,0.092,47.0,-9.0,38.0,1745636140.1411476,0.0
10474.0,-0.1,0.297,0.969,0.824,-0.58,0.122,48.0,-9.0,38.0,1745636140.24312,0.0
10474.0,-0.102,0.295,0.969,0.793,-0.366,0.031,47.0,-9.0,39.0,1745636140.2431204,0.0
10491.0,-0.101,0.291,0.965,0.824,-0.397,0.061,48.0,-8.0,39.0,1745636140.344348,0.0
10491.0,-0.102,0.292,0.972,0.885,-0.58,0.122,48.0,-9.0,38.0,1745636140.3443484,0.0
10491.0,-0.101,0.298,0.973,0.854,-0.519,0.031,48.0,-9.0,38.0,1745636140.344349,0.0
10508.0,-0.102,0.293,0.975,0.854,-0.305,-0.031,47.0,-8.0,38.0,1745636140.447242,0.0
10508.0,-0.098,0.294,0.972,0.885,-0.58,0.122,47.0,-8.0,38.0,1745636140.4472425,0.0
10523.0,-0.101,0.295,0.972,0.885,-0.519,0.092,48.0,-9.0,39.0,1745636140.5492735,0.0
10523.0,-0.1,0.292,0.967,0.854,-0.275,-0.031,48.0,-8.0,38.0,1745636140.549274,0.0
10523.0,-0.101,0.295,0.969,0.885,-0.519,0.061,47.0,-9.0,38.0,1745636140.5492744,0.0
10539.0,-0.1,0.295,0.971,0.885,-0.458,0.061,47.0,-9.0,40.0,1745636140.650131,0.0
10539.0,-0.101,0.292,0.969,0.885,-0.397,0.031,48.0,-8.0,37.0,1745636140.6501315,0.0
10539.0,-0.099,0.293,0.962,0.885,-0.458,0.061,48.0,-8.0,37.0,1745636140.6501317,0.0
10556.0,-0.101,0.295,0.971,0.793,-0.488,0.061,47.0,-10.0,38.0,1745636140.7459693,0.0
10556.0,-0.099,0.292,0.971,0.824,-0.427,0.061,48.0,-10.0,38.0,1745636140.7459695,0.0
10573.0,-0.099,0.293,0.974,0.885,-0.58,0.122,47.0,-8.0,37.0,1745636140.8520968,0.0
10573.0,-0.102,0.299,0.98,0.854,-0.397,0.031,48.0,-9.0,39.0,1745636140.8520973,0.0
10573.0,-0.102,0.294,0.968,0.854,-0.427,0.031,48.0,-8.0,38.0,1745636140.8520975,0.0
10588.0,-0.101,0.29,0.965,0.854,-0.366,0.0,47.0,-9.0,37.0,1745636140.9451451,0.0
10588.0,-0.102,0.293,0.966,0.824,-0.58,0.122,48.0,-8.0,38.0,1745636140.9451456,0.0
10604.0,-0.101,0.291,0.96,0.885,-0.641,0.122,47.0,-9.0,38.0,1745636141.0560231,0.0
10604.0,-0.103,0.293,0.97,0.824,-0.031,-0.092,47.0,-9.0,38.0,1745636141.0560236,0.0
10604.0,-0.098,0.296,0.973,0.854,-0.61,0.092,47.0,-8.0,38.0,1745636141.056024,0.0
